Emanuella,Fialho,1990-05-12 00:00:00,Brasília,Tênis,43,200,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
Eduarda,Figueiredo,1990-04-22,Porto Alegre,Tênis,39,200,,,,,,,
Maryanna,Correa,1993-10-21,São Paulo,Jaqueta,150,250,,,,,,,
Tayna,Coimbra,1990-06-30,São Paulo,Jaqueta,84,250,,,,,,,
Andrew,Carvalhal,1991-05-09,Curitiba,Saia,89,75,,,,,,,
Tayna,Coimbra,1993-03-30,Curitiba,Tênis,25,200,,,,,,,
Andrew,Carvalhal,1991-03-19,São Paulo,Tênis,150,200,,,,,,,
Andrew,Carvalhal,1992-11-27,Fortaleza,Sandália,78,110,,,,,,,
Patricia,Camara,1985-10-20,Rio de Janeiro,Jaqueta,107,250,,,,,,,
Andrew,Carvalhal,1985-02-22,Curitiba,Saia,21,75,,,,,,,
Maryanna,Correa,1989-01-16,Fortaleza,Vestido,20,300,,,,,,,
Izabel,Milagre,1988-05-31,Fortaleza,Saia,54,75,,,,,,,
Emanuella,Fialho,1987-03-01,Brasília,Vestido,141,300,,,,,,,
Andrew,Carvalhal,1989-03-29,São Paulo,Sandália,142,110,,,,,,,
Paloma,Farias,1991-01-10,Curitiba,Sandália,73,110,,,,,,,
Eduarda,Figueiredo,1989-04-07,Rio de Janeiro,Casaco,109,190,,,,,,,
Paloma,Farias,1992-08-14,Fortaleza,Jaqueta,11,250,,,,,,,
Andrew,Carvalhal,1991-11-09,Porto Alegre,Bermuda,25,150,,,,,,,
Tayna,Coimbra,1992-04-23,Salvador,Sapato,133,230,,,,,,,
Maryanna,Correa,1987-08-04,Curitiba,Pulseira,114,30,,,,,,,
Emanuella,Fialho,1990-02-27,Porto Alegre,Vestido,141,300,,,,,,,
Natália,Huon,1986-04-05,Brasília,Pulseira,131,30,,,,,,,
Iago,Bensdorp,1991-11-13,Rio de Janeiro,Camiseta,43,85,,,,,,,
Andrew,Carvalhal,1987-06-17,Porto Alegre,Pulseira,12,30,,,,,,,
Eduarda,Figueiredo,1993-09-22,Brasília,Jaqueta,86,250,,,,,,,
Izabel,Milagre,1993-11-04,São Paulo,Pulseira,73,30,,,,,,,
Izabel,Milagre,1989-04-29,Curitiba,Jaqueta,41,250,,,,,,,
Emanuella,Fialho,1988-12-04,Brasília,Vestido,66,300,,,,,,,
Juliane,Felipi,1987-03-24,Fortaleza,Camiseta,92,85,,,,,,,
Emanuella,Fialho,1990-04-09,Salvador,Bermuda,30,150,,,,,,,
Emanuella,Fialho,1986-11-27,Fortaleza,Chinelo,35,25,,,,,,,
Emanuella,Fialho,1985-01-14,Rio de Janeiro,Casaco,52,190,,,,,,,
Jucelia,Bailly,1993-10-09,Porto Alegre,Short,119,55,,,,,,,
Natália,Huon,1986-08-15,Brasília,Bermuda,40,150,,,,,,,
Paloma,Farias,1992-03-27,Porto Alegre,Vestido,16,300,,,,,,,
Maryanna,Correa,1988-03-30,Brasília,Sapato,125,230,,,,,,,
Tayna,Coimbra,1991-12-14,Curitiba,Chinelo,99,25,,,,,,,
Izabel,Milagre,1987-09-11,Brasília,Sandália,51,110,,,,,,,
Breno,Amaral,1988-10-15,Curitiba,Casaco,63,190,,,,,,,
Iago,Bensdorp,1992-02-07,São Paulo,Sapato,11,230,,,,,,,
Jucelia,Bailly,1985-02-26,Salvador,Jaqueta,73,250,,,,,,,
Elizeu,Barros,1991-02-21,Curitiba,Jaqueta,30,250,,,,,,,
Iago,Bensdorp,1992-05-11,São Paulo,Tênis,80,200,,,,,,,
Eduarda,Figueiredo,1992-06-22,Salvador,Bermuda,68,150,,,,,,,
Natália,Huon,1989-09-25,São Paulo,Casaco,76,190,,,,,,,
Elizeu,Barros,1988-01-31,Curitiba,Saia,67,75,,,,,,,
Izabel,Milagre,1990-02-24,Porto Alegre,Sandália,135,110,,,,,,,
Paloma,Farias,1988-05-23,Curitiba,Casaco,88,190,,,,,,,
Iago,Bensdorp,1990-07-28,Fortaleza,Sapato,20,230,,,,,,,
Natália,Huon,1987-02-11,Fortaleza,Casaco,125,190,,,,,,,
Natália,Huon,1990-07-14,Curitiba,Bermuda,52,150,,,,,,,
Iago,Bensdorp,1987-07-08,Fortaleza,Saia,21,75,,,,,,,
Paloma,Farias,1992-09-08,Salvador,Camiseta,118,85,,,,,,,
Maryanna,Correa,1993-09-15,Fortaleza,Short,84,55,,,,,,,
Andrew,Carvalhal,1992-05-26,Salvador,Pulseira,17,30,,,,,,,
Andrew,Carvalhal,1985-07-10,Porto Alegre,Bermuda,140,150,,,,,,,
Paloma,Farias,1988-03-04,Rio de Janeiro,Camiseta,78,85,,,,,,,
Maryanna,Correa,1986-03-25,Curitiba,Short,12,55,,,,,,,
Emanuella,Fialho,1990-10-14,Salvador,Vestido,61,300,,,,,,,
Maryanna,Correa,1986-06-21,Fortaleza,Casaco,56,190,,,,,,,
Juliane,Felipi,1991-09-19,São Paulo,Camiseta,134,85,,,,,,,
Paloma,Farias,1990-12-16,Rio de Janeiro,Vestido,92,300,,,,,,,
Jucelia,Bailly,1987-04-20,Porto Alegre,Chinelo,58,25,,,,,,,
Joyce,Ribas,1985-08-30,Fortaleza,Tênis,25,200,,,,,,,
Tayna,Coimbra,1986-01-20,Fortaleza,Saia,150,75,,,,,,,
Tayna,Coimbra,1993-08-29,Rio de Janeiro,Sapato,20,230,,,,,,,
Andrew,Carvalhal,1992-10-31,Curitiba,Camiseta,114,85,,,,,,,
Emanuella,Fialho,1987-03-28,Brasília,Saia,103,75,,,,,,,
Maryanna,Correa,1989-12-13,Fortaleza,Tênis,81,200,,,,,,,
Andrew,Carvalhal,1992-07-23,Curitiba,Jaqueta,147,250,,,,,,,
Tayna,Coimbra,1987-04-27,Curitiba,Chinelo,19,25,,,,,,,
Joyce,Ribas,1990-11-01,Rio de Janeiro,Short,102,55,,,,,,,
Breno,Amaral,1992-04-14,Brasília,Chinelo,12,25,,,,,,,
Andrew,Carvalhal,1993-11-29,Brasília,Jaqueta,110,250,,,,,,,
Juliane,Felipi,1987-05-06,Curitiba,Jaqueta,74,250,,,,,,,
Elizeu,Barros,1987-10-05,Rio de Janeiro,Jaqueta,2,250,,,,,,,
Andrew,Carvalhal,1987-02-16,São Paulo,Pulseira,50,30,,,,,,,
Iago,Bensdorp,1988-11-20,Rio de Janeiro,Vestido,40,300,,,,,,,
Breno,Amaral,1991-02-13,Brasília,Casaco,125,190,,,,,,,
Elizeu,Barros,1993-02-09,Porto Alegre,Jaqueta,108,250,,,,,,,
Jucelia,Bailly,1985-04-12,Rio de Janeiro,Pulseira,95,30,,,,,,,
Andrew,Carvalhal,1988-12-30,Salvador,Pulseira,107,30,,,,,,,
Breno,Amaral,1992-11-10,Brasília,Camiseta,72,85,,,,,,,
Andrew,Carvalhal,1988-01-12,Curitiba,Vestido,53,300,,,,,,,
Natália,Huon,1990-06-26,Rio de Janeiro,Camiseta,84,85,,,,,,,
Paloma,Farias,1985-09-05,Curitiba,Sandália,34,110,,,,,,,
Elizeu,Barros,1985-07-09,Rio de Janeiro,Vestido,17,300,,,,,,,
Eduarda,Figueiredo,1987-12-30,Porto Alegre,Short,31,55,,,,,,,
Andrew,Carvalhal,1985-07-11,Rio de Janeiro,Sapato,1,230,,,,,,,
Joyce,Ribas,1993-09-23,Porto Alegre,Jaqueta,27,250,,,,,,,
Natália,Huon,1986-08-06,Porto Alegre,Sandália,84,110,,,,,,,
Juliane,Felipi,1987-08-25,Salvador,Bermuda,50,150,,,,,,,
Tayna,Coimbra,1989-09-30,Fortaleza,Chinelo,86,25,,,,,,,
Andrew,Carvalhal,1989-03-29,Brasília,Bermuda,56,150,,,,,,,
Juliane,Felipi,1985-09-01,Rio de Janeiro,Pulseira,119,30,,,,,,,
Andrew,Carvalhal,1993-04-23,Brasília,Pulseira,86,30,,,,,,,
Natália,Huon,1991-01-16,Brasília,Short,41,55,,,,,,,
Tayna,Coimbra,1986-07-08,São Paulo,Sandália,69,110,,,,,,,
Breno,Amaral,1987-08-29,Rio de Janeiro,Sapato,116,230,,,,,,,
Andrew,Carvalhal,1993-10-10,Curitiba,Pulseira,34,30,,,,,,,
Maryanna,Correa,1985-01-11,Fortaleza,Camiseta,120,85,,,,,,,
Izabel,Milagre,1992-07-21,Rio de Janeiro,Chinelo,121,25,,,,,,,
Izabel,Milagre,1989-06-18,Fortaleza,Casaco,1,190,,,,,,,
Joyce,Ribas,1991-02-10,Rio de Janeiro,Short,40,55,,,,,,,
Emanuella,Fialho,1986-11-12,São Paulo,Saia,101,75,,,,,,,
Natália,Huon,1991-04-22,Curitiba,Chinelo,5,25,,,,,,,
Paloma,Farias,1987-10-25,Porto Alegre,Sandália,16,110,,,,,,,
Natália,Huon,1992-09-06,Salvador,Camiseta,121,85,,,,,,,
Andrew,Carvalhal,1987-09-22,Salvador,Tênis,43,200,,,,,,,
Paloma,Farias,1988-06-05,Brasília,Short,41,55,,,,,,,
Izabel,Milagre,1991-04-20,Curitiba,Bermuda,64,150,,,,,,,
Jucelia,Bailly,1992-05-09,São Paulo,Casaco,62,190,,,,,,,
Izabel,Milagre,1991-09-12,Curitiba,Sapato,35,230,,,,,,,
Paloma,Farias,1985-01-12,Curitiba,Casaco,72,190,,,,,,,
Patricia,Camara,1992-07-23,Curitiba,Saia,140,75,,,,,,,
Paloma,Farias,1989-06-20,São Paulo,Sandália,63,110,,,,,,,
Natália,Huon,1991-06-03,Salvador,Camiseta,66,85,,,,,,,
Andrew,Carvalhal,1993-08-07,São Paulo,Saia,71,75,,,,,,,
Natália,Huon,1985-12-17,Curitiba,Vestido,25,300,,,,,,,
Iago,Bensdorp,1987-10-29,Salvador,Pulseira,61,30,,,,,,,
Maryanna,Correa,1992-12-25,Porto Alegre,Chinelo,20,25,,,,,,,
Andrew,Carvalhal,1992-05-11,Rio de Janeiro,Vestido,10,300,,,,,,,
Eduarda,Figueiredo,1987-07-02,Brasília,Bermuda,6,150,,,,,,,
Paloma,Farias,1987-02-08,São Paulo,Short,105,55,,,,,,,
Andrew,Carvalhal,1991-08-08,Brasília,Vestido,61,300,,,,,,,
Paloma,Farias,1990-02-17,Porto Alegre,Camiseta,15,85,,,,,,,
Breno,Amaral,1991-12-13,Rio de Janeiro,Casaco,55,190,,,,,,,
Izabel,Milagre,1991-09-16,Brasília,Camiseta,64,85,,,,,,,
Elizeu,Barros,1988-01-24,Brasília,Jaqueta,15,250,,,,,,,
Patricia,Camara,1993-10-22,Fortaleza,Short,134,55,,,,,,,
Jucelia,Bailly,1993-08-03,Curitiba,Short,65,55,,,,,,,
Patricia,Camara,1985-05-23,Rio de Janeiro,Tênis,11,200,,,,,,,
Patricia,Camara,1988-08-05,Salvador,Tênis,15,200,,,,,,,
Izabel,Milagre,1992-06-21,Porto Alegre,Short,97,55,,,,,,,
Jucelia,Bailly,1986-11-23,Fortaleza,Pulseira,35,30,,,,,,,
Eduarda,Figueiredo,1990-05-27,Curitiba,Short,135,55,,,,,,,
Elizeu,Barros,1986-08-13,São Paulo,Jaqueta,126,250,,,,,,,
Elizeu,Barros,1985-10-03,Brasília,Sandália,112,110,,,,,,,
Paloma,Farias,1989-03-04,Porto Alegre,Tênis,109,200,,,,,,,
Emanuella,Fialho,1993-02-14,Salvador,Bermuda,123,150,,,,,,,
Emanuella,Fialho,1987-08-06,Salvador,Camiseta,6,85,,,,,,,
Patricia,Camara,1992-08-01,Salvador,Saia,86,75,,,,,,,
Natália,Huon,1992-06-10,Brasília,Tênis,145,200,,,,,,,
Izabel,Milagre,1987-07-02,Curitiba,Sapato,125,230,,,,,,,
Breno,Amaral,1989-06-30,Porto Alegre,Saia,34,75,,,,,,,
Andrew,Carvalhal,1987-01-13,Rio de Janeiro,Sapato,103,230,,,,,,,
Iago,Bensdorp,1989-12-22,São Paulo,Chinelo,112,25,,,,,,,
Joyce,Ribas,1988-06-26,Rio de Janeiro,Vestido,58,300,,,,,,,
Emanuella,Fialho,1987-12-29,Porto Alegre,Short,85,55,,,,,,,
Natália,Huon,1985-10-23,Rio de Janeiro,Jaqueta,128,250,,,,,,,
Paloma,Farias,1991-10-15,Porto Alegre,Tênis,58,200,,,,,,,
Paloma,Farias,1989-04-24,Salvador,Short,92,55,,,,,,,
Breno,Amaral,1993-05-21,Curitiba,Casaco,117,190,,,,,,,
Jucelia,Bailly,1992-04-26,Brasília,Bermuda,65,150,,,,,,,
Jucelia,Bailly,1993-06-02,Porto Alegre,Saia,87,75,,,,,,,
Elizeu,Barros,1990-06-07,Fortaleza,Chinelo,53,25,,,,,,,
Natália,Huon,1988-10-14,Porto Alegre,Bermuda,150,150,,,,,,,
Juliane,Felipi,1990-10-03,Porto Alegre,Bermuda,19,150,,,,,,,
Emanuella,Fialho,1988-02-15,Fortaleza,Short,48,55,,,,,,,
Patricia,Camara,1993-11-28,Brasília,Pulseira,72,30,,,,,,,
Andrew,Carvalhal,1988-08-05,Fortaleza,Jaqueta,14,250,,,,,,,
Iago,Bensdorp,1991-09-02,Porto Alegre,Sandália,30,110,,,,,,,
Tayna,Coimbra,1986-01-25,São Paulo,Casaco,146,190,,,,,,,
Natália,Huon,1989-03-04,Fortaleza,Casaco,59,190,,,,,,,
Paloma,Farias,1992-05-28,Porto Alegre,Sapato,144,230,,,,,,,
Izabel,Milagre,1990-07-28,Brasília,Chinelo,50,25,,,,,,,
Breno,Amaral,1989-04-08,Porto Alegre,Chinelo,118,25,,,,,,,
Iago,Bensdorp,1990-04-09,Brasília,Vestido,80,300,,,,,,,
Iago,Bensdorp,1991-10-13,Salvador,Saia,76,75,,,,,,,
Tayna,Coimbra,1985-04-06,Salvador,Saia,19,75,,,,,,,
Breno,Amaral,1992-07-19,Rio de Janeiro,Jaqueta,132,250,,,,,,,
Juliane,Felipi,1992-12-22,Brasília,Saia,86,75,,,,,,,
Patricia,Camara,1990-06-07,Rio de Janeiro,Chinelo,27,25,,,,,,,
Natália,Huon,1990-01-26,Salvador,Saia,149,75,,,,,,,
Maryanna,Correa,1993-01-09,Curitiba,Sandália,10,110,,,,,,,
Jucelia,Bailly,1992-07-05,Curitiba,Chinelo,117,25,,,,,,,
Patricia,Camara,1989-09-28,Porto Alegre,Jaqueta,82,250,,,,,,,
Emanuella,Fialho,1986-06-08,Porto Alegre,Camiseta,146,85,,,,,,,
Maryanna,Correa,1985-11-13,São Paulo,Pulseira,111,30,,,,,,,
Elizeu,Barros,1987-12-01,Curitiba,Tênis,138,200,,,,,,,
Jucelia,Bailly,1989-06-14,Rio de Janeiro,Pulseira,29,30,,,,,,,
Iago,Bensdorp,1989-01-12,Fortaleza,Sandália,46,110,,,,,,,
Jucelia,Bailly,1989-04-23,Fortaleza,Jaqueta,46,250,,,,,,,
Elizeu,Barros,1988-04-24,Porto Alegre,Tênis,11,200,,,,,,,
Patricia,Camara,1985-08-09,Porto Alegre,Camiseta,43,85,,,,,,,
Paloma,Farias,1989-05-28,Salvador,Chinelo,105,25,,,,,,,
Juliane,Felipi,1987-10-24,Porto Alegre,Chinelo,21,25,,,,,,,
Elizeu,Barros,1993-10-21,Rio de Janeiro,Short,7,55,,,,,,,
Iago,Bensdorp,1991-03-28,Brasília,Sandália,98,110,,,,,,,
Iago,Bensdorp,1987-12-01,São Paulo,Casaco,147,190,,,,,,,
Tayna,Coimbra,1990-04-07,Fortaleza,Saia,120,75,,,,,,,
Eduarda,Figueiredo,1989-02-20,Curitiba,Short,105,55,,,,,,,
Maryanna,Correa,1991-09-01,Brasília,Tênis,9,200,,,,,,,
Iago,Bensdorp,1992-05-10,Rio de Janeiro,Tênis,14,200,,,,,,,
Jucelia,Bailly,1992-10-22,Rio de Janeiro,Saia,32,75,,,,,,,
Izabel,Milagre,1992-10-20,Fortaleza,Vestido,103,300,,,,,,,
Elizeu,Barros,1987-09-26,São Paulo,Camiseta,57,85,,,,,,,
Breno,Amaral,1989-07-29,Porto Alegre,Chinelo,49,25,,,,,,,
Juliane,Felipi,1993-03-23,Rio de Janeiro,Pulseira,125,30,,,,,,,
Eduarda,Figueiredo,1989-06-23,Porto Alegre,Chinelo,6,25,,,,,,,
Natália,Huon,1986-02-22,Brasília,Chinelo,52,25,,,,,,,
Eduarda,Figueiredo,1988-10-31,Curitiba,Vestido,124,300,,,,,,,
Maryanna,Correa,1990-09-15,São Paulo,Sandália,147,110,,,,,,,
Breno,Amaral,1985-05-28,Fortaleza,Camiseta,113,85,,,,,,,
Iago,Bensdorp,1993-11-20,Fortaleza,Pulseira,51,30,,,,,,,
Paloma,Farias,1986-03-18,Curitiba,Short,120,55,,,,,,,
Joyce,Ribas,1992-07-24,Fortaleza,Sapato,1,230,,,,,,,
Tayna,Coimbra,1990-04-06,Porto Alegre,Casaco,140,190,,,,,,,
Joyce,Ribas,1985-01-12,São Paulo,Sapato,119,230,,,,,,,
Maryanna,Correa,1991-01-11,Curitiba,Vestido,64,300,,,,,,,
Izabel,Milagre,1987-03-12,Salvador,Chinelo,66,25,,,,,,,
Patricia,Camara,1986-07-02,Brasília,Camiseta,41,85,,,,,,,
Iago,Bensdorp,1988-06-04,Curitiba,Sandália,86,110,,,,,,,
Eduarda,Figueiredo,1985-09-20,Curitiba,Pulseira,24,30,,,,,,,
Joyce,Ribas,1987-12-29,São Paulo,Casaco,128,190,,,,,,,
Breno,Amaral,1986-05-05,Fortaleza,Saia,58,75,,,,,,,
Breno,Amaral,1986-05-10,Fortaleza,Bermuda,108,150,,,,,,,
Izabel,Milagre,1986-10-05,Brasília,Jaqueta,33,250,,,,,,,
Iago,Bensdorp,1992-02-20,São Paulo,Casaco,131,190,,,,,,,
Tayna,Coimbra,1990-01-08,Salvador,Sapato,83,230,,,,,,,
Izabel,Milagre,1990-08-09,Porto Alegre,Vestido,109,300,,,,,,,
Iago,Bensdorp,1989-12-24,São Paulo,Camiseta,44,85,,,,,,,
Maryanna,Correa,1993-01-15,Curitiba,Jaqueta,125,250,,,,,,,
Joyce,Ribas,1986-01-01,Porto Alegre,Pulseira,70,30,,,,,,,
Tayna,Coimbra,1991-11-18,Fortaleza,Tênis,11,200,,,,,,,
Joyce,Ribas,1992-05-12,Porto Alegre,Chinelo,76,25,,,,,,,
Maryanna,Correa,1988-06-27,Rio de Janeiro,Jaqueta,140,250,,,,,,,
Jucelia,Bailly,1991-11-12,Curitiba,Vestido,12,300,,,,,,,
Iago,Bensdorp,1992-08-08,Brasília,Vestido,25,300,,,,,,,
Andrew,Carvalhal,1989-09-21,Curitiba,Saia,116,75,,,,,,,
Elizeu,Barros,1986-06-02,Porto Alegre,Short,145,55,,,,,,,
Patricia,Camara,1993-08-08,Rio de Janeiro,Saia,137,75,,,,,,,
Jucelia,Bailly,1985-01-03,Curitiba,Tênis,84,200,,,,,,,
Eduarda,Figueiredo,1992-04-26,Rio de Janeiro,Vestido,92,300,,,,,,,
Jucelia,Bailly,1985-03-24,São Paulo,Pulseira,97,30,,,,,,,
Jucelia,Bailly,1989-09-22,Porto Alegre,Pulseira,126,30,,,,,,,
Iago,Bensdorp,1991-01-16,Porto Alegre,Chinelo,86,25,,,,,,,
Eduarda,Figueiredo,1993-09-13,Brasília,Sandália,138,110,,,,,,,
Elizeu,Barros,1991-05-13,Fortaleza,Bermuda,104,150,,,,,,,
Emanuella,Fialho,1989-09-14,Curitiba,Bermuda,17,150,,,,,,,
Paloma,Farias,1986-07-21,Porto Alegre,Vestido,56,300,,,,,,,
Joyce,Ribas,1986-04-09,Brasília,Short,22,55,,,,,,,
Jucelia,Bailly,1991-12-18,São Paulo,Vestido,42,300,,,,,,,
Elizeu,Barros,1988-10-12,Curitiba,Pulseira,117,30,,,,,,,
Eduarda,Figueiredo,1990-09-05,Rio de Janeiro,Jaqueta,51,250,,,,,,,
Tayna,Coimbra,1988-02-09,Brasília,Short,145,55,,,,,,,
Izabel,Milagre,1988-08-31,Brasília,Chinelo,142,25,,,,,,,
Maryanna,Correa,1988-07-15,Rio de Janeiro,Short,75,55,,,,,,,
Jucelia,Bailly,1993-10-30,Rio de Janeiro,Jaqueta,64,250,,,,,,,
Joyce,Ribas,1989-06-15,Porto Alegre,Saia,110,75,,,,,,,
Maryanna,Correa,1990-04-27,Porto Alegre,Saia,1,75,,,,,,,
Natália,Huon,1987-09-19,São Paulo,Short,74,55,,,,,,,
Breno,Amaral,1992-04-22,Salvador,Casaco,68,190,,,,,,,
Eduarda,Figueiredo,1988-10-11,Curitiba,Bermuda,58,150,,,,,,,
Eduarda,Figueiredo,1992-01-20,Fortaleza,Bermuda,45,150,,,,,,,
Maryanna,Correa,1989-01-20,Fortaleza,Saia,17,75,,,,,,,
Izabel,Milagre,1987-07-26,Fortaleza,Bermuda,5,150,,,,,,,
Jucelia,Bailly,1992-07-28,Brasília,Vestido,76,300,,,,,,,
Eduarda,Figueiredo,1991-03-02,Curitiba,Pulseira,143,30,,,,,,,
Juliane,Felipi,1988-01-17,Rio de Janeiro,Short,25,55,,,,,,,
Joyce,Ribas,1991-06-12,São Paulo,Saia,146,75,,,,,,,
Natália,Huon,1990-03-23,Brasília,Vestido,34,300,,,,,,,
Emanuella,Fialho,1990-09-13,São Paulo,Short,69,55,,,,,,,
Patricia,Camara,1986-02-04,Fortaleza,Sapato,39,230,,,,,,,
Iago,Bensdorp,1985-07-07,Porto Alegre,Sandália,132,110,,,,,,,
Emanuella,Fialho,1990-12-20,Curitiba,Short,96,55,,,,,,,
Patricia,Camara,1993-03-23,Porto Alegre,Camiseta,85,85,,,,,,,
Andrew,Carvalhal,1993-06-22,Salvador,Sapato,77,230,,,,,,,
Paloma,Farias,1993-02-14,Salvador,Camiseta,7,85,,,,,,,
Jucelia,Bailly,1991-11-24,Brasília,Casaco,7,190,,,,,,,
Paloma,Farias,1988-07-02,Brasília,Bermuda,124,150,,,,,,,
Jucelia,Bailly,1988-10-02,Brasília,Short,90,55,,,,,,,
Maryanna,Correa,1990-04-13,São Paulo,Pulseira,86,30,,,,,,,
Patricia,Camara,1992-07-03,Salvador,Tênis,86,200,,,,,,,
Andrew,Carvalhal,1993-10-20,Salvador,Chinelo,121,25,,,,,,,
Maryanna,Correa,1992-08-14,Porto Alegre,Camiseta,38,85,,,,,,,
Eduarda,Figueiredo,1986-11-11,Fortaleza,Vestido,67,300,,,,,,,
Elizeu,Barros,1989-09-07,Porto Alegre,Tênis,76,200,,,,,,,
Natália,Huon,1989-11-12,Fortaleza,Short,76,55,,,,,,,
Emanuella,Fialho,1992-01-02,Brasília,Tênis,42,200,,,,,,,
Joyce,Ribas,1987-07-02,Salvador,Tênis,55,200,,,,,,,
Emanuella,Fialho,1986-04-05,Salvador,Tênis,4,200,,,,,,,
Joyce,Ribas,1993-09-27,Fortaleza,Bermuda,121,150,,,,,,,
Jucelia,Bailly,1990-07-03,Salvador,Chinelo,113,25,,,,,,,
Elizeu,Barros,1985-09-11,Curitiba,Tênis,81,200,,,,,,,
Andrew,Carvalhal,1988-05-03,Brasília,Tênis,135,200,,,,,,,
Paloma,Farias,1988-09-26,Rio de Janeiro,Jaqueta,19,250,,,,,,,
Eduarda,Figueiredo,1993-05-25,Salvador,Jaqueta,149,250,,,,,,,
Juliane,Felipi,1993-05-02,Curitiba,Jaqueta,87,250,,,,,,,
Natália,Huon,1985-01-23,São Paulo,Camiseta,105,85,,,,,,,
Paloma,Farias,1989-07-14,Brasília,Sandália,36,110,,,,,,,
Izabel,Milagre,1992-07-10,Curitiba,Sapato,117,230,,,,,,,
Patricia,Camara,1986-07-18,Brasília,Sapato,65,230,,,,,,,
Breno,Amaral,1987-09-16,São Paulo,Short,36,55,,,,,,,
Juliane,Felipi,1985-02-14,Rio de Janeiro,Pulseira,97,30,,,,,,,
Jucelia,Bailly,1987-01-25,São Paulo,Casaco,150,190,,,,,,,
Tayna,Coimbra,1991-12-21,Curitiba,Short,21,55,,,,,,,
Iago,Bensdorp,1990-01-12,Curitiba,Sapato,104,230,,,,,,,
Iago,Bensdorp,1988-05-24,Porto Alegre,Vestido,142,300,,,,,,,
Tayna,Coimbra,1986-04-11,Salvador,Saia,61,75,,,,,,,
Natália,Huon,1989-12-15,Porto Alegre,Sapato,16,230,,,,,,,
Joyce,Ribas,1991-11-17,Rio de Janeiro,Saia,81,75,,,,,,,
Elizeu,Barros,1987-07-26,Curitiba,Casaco,147,190,,,,,,,
Eduarda,Figueiredo,1986-03-12,Curitiba,Camiseta,20,85,,,,,,,
Joyce,Ribas,1991-07-20,Salvador,Camiseta,93,85,,,,,,,
Izabel,Milagre,1985-02-03,Rio de Janeiro,Short,117,55,,,,,,,
Eduarda,Figueiredo,1992-04-03,Salvador,Saia,88,75,,,,,,,
Jucelia,Bailly,1987-11-12,Curitiba,Tênis,28,200,,,,,,,
Natália,Huon,1988-07-17,Curitiba,Bermuda,94,150,,,,,,,
Izabel,Milagre,1992-05-20,Porto Alegre,Casaco,60,190,,,,,,,
Breno,Amaral,1989-06-19,Brasília,Sapato,77,230,,,,,,,
Eduarda,Figueiredo,1991-05-19,Fortaleza,Saia,47,75,,,,,,,
Tayna,Coimbra,1991-11-15,São Paulo,Camiseta,45,85,,,,,,,
Natália,Huon,1988-01-13,Brasília,Sapato,80,230,,,,,,,
Patricia,Camara,1990-12-03,São Paulo,Bermuda,148,150,,,,,,,
Joyce,Ribas,1987-05-03,Rio de Janeiro,Casaco,11,190,,,,,,,
Juliane,Felipi,1989-11-23,Brasília,Sapato,40,230,,,,,,,
Paloma,Farias,1990-03-25,Rio de Janeiro,Bermuda,106,150,,,,,,,
Elizeu,Barros,1993-01-22,Porto Alegre,Tênis,132,200,,,,,,,
Elizeu,Barros,1988-10-12,Curitiba,Casaco,129,190,,,,,,,
Breno,Amaral,1986-01-24,Rio de Janeiro,Pulseira,4,30,,,,,,,
Emanuella,Fialho,1993-10-27,Fortaleza,Sandália,89,110,,,,,,,
Natália,Huon,1992-02-26,São Paulo,Pulseira,27,30,,,,,,,
Joyce,Ribas,1987-09-05,Fortaleza,Tênis,90,200,,,,,,,
Elizeu,Barros,1989-08-18,Curitiba,Vestido,60,300,,,,,,,
Juliane,Felipi,1992-11-03,Salvador,Tênis,145,200,,,,,,,
Iago,Bensdorp,1992-09-27,Fortaleza,Camiseta,14,85,,,,,,,
Iago,Bensdorp,1990-03-15,Rio de Janeiro,Tênis,26,200,,,,,,,
Patricia,Camara,1987-12-26,São Paulo,Camiseta,121,85,,,,,,,
Patricia,Camara,1986-12-30,São Paulo,Sandália,46,110,,,,,,,
Patricia,Camara,1988-09-06,Brasília,Sapato,121,230,,,,,,,
Emanuella,Fialho,1992-04-11,Fortaleza,Sapato,144,230,,,,,,,
Joyce,Ribas,1986-09-07,Porto Alegre,Bermuda,132,150,,,,,,,
Patricia,Camara,1989-05-16,Curitiba,Jaqueta,84,250,,,,,,,
Elizeu,Barros,1987-06-09,São Paulo,Jaqueta,124,250,,,,,,,
Eduarda,Figueiredo,1991-03-15,Curitiba,Jaqueta,17,250,,,,,,,
Paloma,Farias,1987-02-20,Curitiba,Bermuda,148,150,,,,,,,
Iago,Bensdorp,1991-08-08,Porto Alegre,Sapato,27,230,,,,,,,
Juliane,Felipi,1986-06-15,São Paulo,Vestido,49,300,,,,,,,
Natália,Huon,1989-02-05,Fortaleza,Sandália,103,110,,,,,,,
Emanuella,Fialho,1993-10-11,São Paulo,Short,7,55,,,,,,,
Tayna,Coimbra,1993-09-23,Salvador,Jaqueta,129,250,,,,,,,
Patricia,Camara,1992-02-11,Brasília,Pulseira,125,30,,,,,,,
Maryanna,Correa,1988-10-31,Rio de Janeiro,Casaco,84,190,,,,,,,
Andrew,Carvalhal,1988-12-08,Porto Alegre,Pulseira,14,30,,,,,,,
Eduarda,Figueiredo,1987-02-03,São Paulo,Saia,101,75,,,,,,,
